# India event-day calendar for NIFTY premium-selling hard-block.
#
# Columns:
#   date        — ISO yyyy-mm-dd (the calendar day we're blocking)
#   event_type  — RBI_POLICY | FED_FOMC | BUDGET | CPI_IN | IIP_IN | ELECTION | OTHER
#   severity    — HARD_BLOCK (skip entries) | SOFT_CAUTION (score penalty only)
#
# Confidence notes (2026-04-23):
#   HIGH  — RBI MPC decision days (sourced from rbi.org.in releases), Union
#           Budget (always Feb 1 since 2017), FOMC decision days (Fed press
#           releases). Dates are the **second/final day** of multi-day events
#           because that is when the rate decision is published and the NIFTY
#           reaction prints.
#   MED   — CPI / IIP release days: NSO's pattern is "CPI ~12th & IIP ~12th
#           of each month" but the exact date slides 1-3 days. Entries here
#           are the canonical 12th; operators should fold in the official
#           NSO calendar quarterly.
#   LOW   — Election result days: 2024 Lok Sabha result day was 4-Jun-2024
#           (confirmed). 2025 state-election dates are not listed here.
#
# FOMC effect on NIFTY: decision drops at 23:30 IST → the **next** IST
# session prints the reaction, so we tag the IST-next-day.
date,event_type,severity
2024-04-12,CPI_IN,SOFT_CAUTION
2024-05-13,CPI_IN,SOFT_CAUTION
2024-06-12,CPI_IN,SOFT_CAUTION
2024-07-12,CPI_IN,SOFT_CAUTION
2024-08-12,CPI_IN,SOFT_CAUTION
2024-09-12,CPI_IN,SOFT_CAUTION
2024-10-14,CPI_IN,SOFT_CAUTION
2024-11-12,CPI_IN,SOFT_CAUTION
2024-12-12,CPI_IN,SOFT_CAUTION
# ── 2025 RBI MPC decision days (final day) ─────────────────────────
2025-02-07,RBI_POLICY,HARD_BLOCK
2025-04-09,RBI_POLICY,HARD_BLOCK
2025-06-06,RBI_POLICY,HARD_BLOCK
2025-08-06,RBI_POLICY,HARD_BLOCK
2025-10-01,RBI_POLICY,HARD_BLOCK
2025-12-05,RBI_POLICY,HARD_BLOCK
# ── 2025 Union Budget ──────────────────────────────────────────────
2025-02-01,BUDGET,HARD_BLOCK
# ── 2025 FOMC decision days (IST next-session) ─────────────────────
2025-01-29,FED_FOMC,SOFT_CAUTION
2025-01-30,FED_FOMC,SOFT_CAUTION
2025-03-19,FED_FOMC,SOFT_CAUTION
2025-03-20,FED_FOMC,SOFT_CAUTION
2025-05-07,FED_FOMC,SOFT_CAUTION
2025-05-08,FED_FOMC,SOFT_CAUTION
2025-06-18,FED_FOMC,SOFT_CAUTION
2025-06-19,FED_FOMC,SOFT_CAUTION
2025-07-30,FED_FOMC,SOFT_CAUTION
2025-07-31,FED_FOMC,SOFT_CAUTION
2025-09-17,FED_FOMC,SOFT_CAUTION
2025-09-18,FED_FOMC,SOFT_CAUTION
2025-10-29,FED_FOMC,SOFT_CAUTION
2025-10-30,FED_FOMC,SOFT_CAUTION
2025-12-10,FED_FOMC,SOFT_CAUTION
2025-12-11,FED_FOMC,SOFT_CAUTION
# ── 2025 CPI / IIP canonical release dates ─────────────────────────
2025-01-13,CPI_IN,SOFT_CAUTION
2025-02-12,CPI_IN,SOFT_CAUTION
2025-03-12,CPI_IN,SOFT_CAUTION
2025-04-14,CPI_IN,SOFT_CAUTION
2025-05-12,CPI_IN,SOFT_CAUTION
2025-06-12,CPI_IN,SOFT_CAUTION
2025-07-14,CPI_IN,SOFT_CAUTION
2025-08-12,CPI_IN,SOFT_CAUTION
2025-09-12,CPI_IN,SOFT_CAUTION
2025-10-13,CPI_IN,SOFT_CAUTION
2025-11-12,CPI_IN,SOFT_CAUTION
2025-12-12,CPI_IN,SOFT_CAUTION
# ── 2026 RBI MPC decision days (final day) ─────────────────────────
2026-02-06,RBI_POLICY,HARD_BLOCK
2026-04-08,RBI_POLICY,HARD_BLOCK
2026-06-05,RBI_POLICY,HARD_BLOCK
2026-08-06,RBI_POLICY,HARD_BLOCK
2026-10-07,RBI_POLICY,HARD_BLOCK
2026-12-04,RBI_POLICY,HARD_BLOCK
# ── 2026 Union Budget ──────────────────────────────────────────────
2026-02-01,BUDGET,HARD_BLOCK
# ── 2026 FOMC decision days (IST next-session) ─────────────────────
2026-01-28,FED_FOMC,SOFT_CAUTION
2026-01-29,FED_FOMC,SOFT_CAUTION
2026-03-18,FED_FOMC,SOFT_CAUTION
2026-03-19,FED_FOMC,SOFT_CAUTION
2026-04-29,FED_FOMC,SOFT_CAUTION
2026-04-30,FED_FOMC,SOFT_CAUTION
2026-06-17,FED_FOMC,SOFT_CAUTION
2026-06-18,FED_FOMC,SOFT_CAUTION
2026-07-29,FED_FOMC,SOFT_CAUTION
2026-07-30,FED_FOMC,SOFT_CAUTION
2026-09-16,FED_FOMC,SOFT_CAUTION
2026-09-17,FED_FOMC,SOFT_CAUTION
2026-10-28,FED_FOMC,SOFT_CAUTION
2026-10-29,FED_FOMC,SOFT_CAUTION
2026-12-09,FED_FOMC,SOFT_CAUTION
2026-12-10,FED_FOMC,SOFT_CAUTION
# ── 2026 CPI / IIP canonical release dates ─────────────────────────
2026-01-12,CPI_IN,SOFT_CAUTION
2026-02-12,CPI_IN,SOFT_CAUTION
2026-03-12,CPI_IN,SOFT_CAUTION
2026-04-13,CPI_IN,SOFT_CAUTION
2026-05-12,CPI_IN,SOFT_CAUTION
2026-06-12,CPI_IN,SOFT_CAUTION
2026-07-13,CPI_IN,SOFT_CAUTION
2026-08-12,CPI_IN,SOFT_CAUTION
2026-09-14,CPI_IN,SOFT_CAUTION
2026-10-12,CPI_IN,SOFT_CAUTION
2026-11-12,CPI_IN,SOFT_CAUTION
2026-12-14,CPI_IN,SOFT_CAUTION
